Release Date,Time,Actual,Forecast,Previous,
"Mar 01, 2001 (Feb)",05:00,2.00, ,5.00,
"Feb 01, 2001 (Jan)",05:00,5.00, ,-1.00,
"Jan 01, 2001 (Dec)",05:00,-1.00, ,-2.00,
"Dec 01, 2000 (Nov)",05:00,-2.00, ,0.00,
"Nov 01, 2000 (Oct)",05:00,0.00, ,-5.00,
"Oct 01, 2000 (Sep)",05:00,-5.00, ,1.00,
"Sep 01, 2000 (Aug)",05:00,1.00, ,-3.00,
"Aug 01, 2000 (Jul)",05:00,-3.00, ,0.00,
"Jul 01, 2000 (Jun)",05:00,0.00, ,2.00,
"Jun 01, 2000 (May)",05:00,2.00, ,-4.00,
"May 01, 2000 (Apr)",05:00,-4.00, ,-2.00,
"Apr 01, 2000 (Mar)",05:00,-2.00, ,2.00,
"Mar 01, 2000 (Feb)",05:00,2.00, ,8.00,
"Feb 01, 2000 (Jan)",05:00,8.00, ,1.00,
"Jan 01, 2000 (Dec)",05:00,1.00, ,-2.00,
"Dec 01, 1999 (Nov)",05:00,-2.00, ,2.00,
"Nov 01, 1999 (Oct)",05:00,2.00, ,2.00,
"Oct 01, 1999 (Sep)",05:00,2.00, ,4.00,
"Sep 01, 1999 (Aug)",05:00,4.00, ,2.00,
"Aug 01, 1999 (Jul)",05:00,2.00, ,5.00,
"Jul 01, 1999 (Jun)",05:00,5.00, ,5.00,
"Jun 01, 1999 (May)",05:00,5.00, ,1.00,
"May 01, 1999 (Apr)",05:00,1.00, ,1.00,
"Apr 01, 1999 (Mar)",05:00,1.00, ,-1.00,
"Mar 01, 1999 (Feb)",05:00,-1.00, ,-3.00,
"Feb 01, 1999 (Jan)",05:00,-3.00, ,-8.00,
"Jan 01, 1999 (Dec)",05:00,-8.00, ,-7.00,
"Dec 01, 1998 (Nov)",05:00,-7.00, ,-9.00,
"Nov 01, 1998 (Oct)",05:00,-9.00, ,-3.00,
"Oct 01, 1998 (Sep)",05:00,-3.00, ,-5.00,
"Sep 01, 1998 (Aug)",05:00,-5.00, ,-1.00,
"Aug 01, 1998 (Jul)",05:00,-1.00, ,2.00,
"Jul 01, 1998 (Jun)",05:00,2.00, ,7.00,
"Jun 01, 1998 (May)",05:00,7.00, ,4.00,
"May 01, 1998 (Apr)",05:00,4.00, ,2.00,
"Apr 01, 1998 (Mar)",05:00,2.00, ,4.00,
"Mar 01, 1998 (Feb)",05:00,4.00, ,4.00,
"Feb 01, 1998 (Jan)",05:00,4.00, ,0.00,
"Jan 01, 1998 (Dec)",05:00,0.00, ,2.00,
"Dec 01, 1997 (Nov)",05:00,2.00, ,7.00,
"Nov 01, 1997 (Oct)",05:00,7.00, ,8.00,
"Oct 01, 1997 (Sep)",05:00,8.00, ,10.00,
"Sep 01, 1997 (Aug)",05:00,10.00, ,8.00,
"Aug 01, 1997 (Jul)",05:00,8.00, ,8.00,
"Jul 01, 1997 (Jun)",05:00,8.00, ,6.00,
"Jun 01, 1997 (May)",05:00,6.00, ,-1.00,
"May 01, 1997 (Apr)",05:00,-1.00, ,1.00,
"Apr 01, 1997 (Mar)",05:00,1.00, ,2.00,
"Mar 01, 1997 (Feb)",05:00,2.00, ,2.00,
"Feb 01, 1997 (Jan)",05:00,2.00, ,-4.00,
"Jan 01, 1997 (Dec)",05:00,-4.00, ,1.00,
